index,type,line
3440,true,you have murdered a fifth demon king incarnation body
3441,false,ah that person
3442,false,savemsavemsavemesavemesaveme
3443,true,the master of the stigma risks his life for others
3444,false,oh you foolish star did you honestly believe you can fight against us all
3445,true,the constellation BLANK is listening to your story
3446,false,i will kill you
3447,true,the star stream has failed to find a suitable name for your achievement
3448,false,i knew that the gods on the indian side dont play around but they are truly monsters
3449,true,constellation BLANK is looking at the constellation BLANK
3450,false,did that anna girl plan something the person i just killed was a sword master
3451,false,child we dont want liberation we are no longer curious about the story
3452,true,new main scenario has arrived
3453,true,the bidder is incarnation yoo joonghyuk
3454,false,what the ck which mothercker is it
3455,true,scenario challenger 0st in dark castle yoo joonghyuk
3456,false,is th ere ano ther guar di an
3457,true,abyssal black flame dragon
3458,false,agares its already been several thousands of years since the master of the 0st demon realm had passed on
3459,true,NEBULAs probability is experiencing a massive and sudden change
3460,false,weve all momentarily forgotten that we are not the same as cheok jungyeong or lee sunshin
3461,false,it seems she mustve done something let her run a bit more the scenario should be stacked up to taste better
3462,true, not recorded in the vehicle
3463,true,the character BLANK has used the stigma eternal nightmare lv 0
3464,true,poker face has neutralized the effect of lie detection
3465,true,same existences from different worldlines have met for the first time
3466,false,do you think they want gigantomachia
3467,false,i am the BLANK
3468,true,constellation BLANK is granting BLANK to incarnation BLANK
3469,true,the performer of musical instruments is wounded and has exited from the scenario
3470,true,android lee jihye  0g
3471,true,the thickness of the fourth wall has become thinner
3472,true,the syswitz executioner has placed a mark of death on you
3473,true,the constellation BLANK is screaming and cheering
3474,false,all thanks to you dear demon kingnim this months revenue has shot up by a noticeable amount if its not too much trouble may i enquire about your true name honestly ive never seen anyone treat probability like ratshit as much as you demon kingnim ah hahaha that was a compliment of course
3475,false,you want to fight us now you do you know what happens when a demon king and demon king fight
3476,true,applicable BLANK cannot deal with the targets status
3477,true,BLANK is calling out to the incarnation BLANK
3478,false,that world will know that there is a BLANK above the BLANK
3479,true,the participant BLANK has started to write a new myth on this mythical battlefield
3480,true,you are looking at the demon earl BLANK
3481,true,omniscient readers viewpoint isnt available in this area
3482,false,this year there are four
3483,true,constellation BLANK nods her head
3484,false,i wi ll ex plore this sto ry of li ving things
3485,false,arent your preparations just too slow if my maknae dies because of your tardiness im going to rip you apart limb from limb where you stand
3486,false,nonsense
3487,true,the fourth wall is looking at you
3488,false,stop complaining once this is over father says he will suggest our promotion to the 0 gods
3489,false,i will go
3490,true,you have arrived at the blue dragon castle
3491,true,all of your stories are reacting to your misfortune
3492,true,the bureau has completed your examination
3493,false,we shouldnt disparage an incarnations martial arts
3494,false,i want to know
3495,true,BLANK is calling out to incarnation BLANK
3496,true,constellation BLANK cant tear her eyes away
3497,true,many dokkaebis are repulsed by the story of the BLANK
3498,true,your statement has been confirmed as a lie
3499,true,constellation BLANK is cackling away
3500,true,giant story BLANK is shrinking back
3501,true,the constellation BLANK is so moved she has a nosebleed
3502,true,you are currently cursed by the demon king BLANK
3503,true,someone has joined the scenario in the role of BLANK
3504,false,great dokkaebi you mean i am
3505,false,uh youre already here
3506,false,its me your archangel noonim
3507,true,story BLANK slowly nods its head
3508,true,a portion of judges are satisfied by the minutelydetailed reflection of the original story
3509,false,you arent like young constellations these days you have a great sense of value
3510,false,youre an interesting child
3511,true,constellation BLANK is summoning the incarnation BLANK
3512,true,your actions have triggered a new scenario to be created in the NEBULA
3513,false,well in that case what about that demon king
3514,true,subscenario BLANK has concluded
3515,false, this isnt a story
3516,true,the constellation BLANK is pulling his hair with an unknown expression
3517,false,why does a halfbreed have this power ive never heard of your name what type of story do you have
3518,true,the night of the island has come
3519,true,chaos is writhing within in your heart
3520,false,those who are at the highest point in this damn world are afraid of you
3521,true,giant story BLANK has begun talking a big game
3522,true,constellation BLANK is bestowing his blessing
3523,true,the character BLANK is currently suffering from thought infection
3524,true,this is the hidden truth regarding the enemy of the story BLANK
3525,false,it seems that you were negligent with your training judging from your inability to withstand this level of electrical shock
3526,false,urgh shut up were busy talking here
3527,true,the constellation BLANK is sending out a cold gaze
3528,true,the BLANK portion of your first mythgrade story has been completed
3529,true,a big player in the sponsorship community has sponsored a large amount of coins
3530,true,the constellation BLANK is scoffing at you
3531,false,ahaha that is a shameful story i am now an intermediate dokkaebi
3532,false,why are you scared
3533,false,ah that reminds me was it last time when i sent you to the underworld
3534,true,i wont be accepting the story names you have proposed
3535,true,your story will be assimilated with giant soldier pluto
3536,false,i was an incarnation that lagged behind thousands of years compared to those constellations yet i came all this way
3537,true,we will open up a previous scenario to determine the status of this seasons good and evil
3538,false,why didnt you get born in a worldline with an honest hardworking dokkaebi king then
3539,true,incarnation BLANK has gotten much closer to her
3540,false,damn dont back down
3541,false,but what about now
3542,false,do you like the coat i made
3543,true,giant story BLANK is coming to the sea
3544,true,character jang hayoungs viewpoint has been added to the BLANK
3545,true,a portion of constellations are suspicious of the BLANK status
3546,false,we can use this only once
3547,false,advance
3548,true,in the flow of the stars the historicalgrade constellations hear your voice
3549,true,the constellation BLANK is baring his teeth
3550,true,youll reincarnate with that body as your incarnation body
3551,false,then my hard work preparing this wasnt worthwhile
3552,false,what rules this world is neither BLANK nor BLANK its BLANK
3553,true,incarnation BLANK is agreeing with the judgement
3554,true,the demon king BLANK is showing hostility to BLANK
3555,true,your current incarnation body is severely damaged
3556,true,applicable genres clear conditions have not been met
3557,false,you think hell call you gyebaek obviously hell summon me when in that sort of a situation
3558,true,your BLANK has overcome the physical constitution penalty
3559,true,two remarkably similar beings are colliding
3560,false,are you saying that you shall willingly succeed the throne of the NEBULA and be locked up here for the rest of your life
3561,true,your birth story is leaking out
3562,true,the status you cant afford has fallen onto your right arm
3563,false,lets finish it and go back
3564,true,constellations are quarrelling over the legitimacy of the myths
3565,true,the constellation BLANK is glancing this way
3566,true,the demon kings of the demon realm are stunned by the surprise probability storm
3567,false,i have learnt enough about this game
3568,true,worldview is uncertain whether the character BLANK possesses the qualifications of the ruler or not
3569,false,duke of loyalty and warfare there was a story that you are more likely to become a narrativegrade than me
3570,false,kim dokjas company im going to aggressively grow the company
3571,true,constellation BLANK has received great damage
3572,true,the message has been returned
3573,true,giant story BLANK has begun its storytelling
3574,true,some constellations are trying to dissuade you from your choice
3575,false,athena you are usually on the side of the weak
3576,false,there isnt much left till the end of this long story then
3577,true,judge BLANK is enraged while holding onto his hair
3578,true,the BLANK is currently in the middle of the takeoff procedure
3579,false,what are you doing there is no time left kill them quickly
3580,true,constellation BLANK is performing the requiem of the apocalypse
3581,true,the constellation BLANK likes looking at you
3582,true,giant story BLANK wishes to tell the next part of the story
3583,false,this is a cowardly method of fighting younger brother
3584,true,judge BLANK orders you to sweep every one of these people away
3585,true,BLANK is greatly shaken up
3586,false,kuock
3587,false,the scribe knows about the destruction of eden
3588,true,incarnation BLANK has chosen his affiliated camp
3589,false,giants liberator soon the giants of this place will enter gigantomachia is there anything you specifically want
3590,true,a new file has been downloaded
3591,true,the power of five BLANK have incarnated into your incarnation body
3592,true,the constellation BLANK is silently watching the situation
3593,false,i told you this story is neither yours or mine
3594,false,kuaaaah
3595,true,you have unlocked a certain skill with the points
3596,true,the constellation BLANK is nodding at your words
3597,true,you have reached an area adjacent to the scenario
3598,false,whoareyouwhoareyouwhoareyou
3599,true,the genre of the applicable scenario has minutely tilted towards BLANK
3600,true,the newly entered constellations are revealing their modifiers
3601,false,who is the demon king of salvation
3602,false,you must kill the queen
3603,true,the constellation BLANK is asking what you mean
3604,true,you are now able to receive the protection of the silla constellations
3605,true,several demon kings are offering you goodwill
3606,false,reg ret will be the on ly th ing that ke eps you al ive
3607,true,waiting for the user yoo joonghyuks destination input
3608,true,the BLANK penalty will be maintained until the second main scenario is cleared
3609,true,due to the achievement of the story some great old ones are watching you
3610,false,me why
3611,true,constellation BLANK is participating in the applicable scenario
3612,true,your nebula has met the criteria to participate
3613,true,the constellation BLANK doesnt want the survival of the BLANK
3614,true,the incarnation BLANK has refused to regress
3615,true,your mental strength reinforced by the fourth wall has returned to its original state
3616,false,ive gone through these BLANK so im hungrier for these stories
3617,false,then why the hell did you even come here for
3618,false,nope that apocalypse dragon shall be hunted down by none other than us NEBULA
3619,true,the star stream doubts your eligibility
3620,true,the monarch of the snake hell is wounded and has exited from the scenario
3621,true,a portion of constellations from the nebula NEBULA have entered the applicable regional conflict
3622,false,you said two favours what is the second one
3623,false,leave it to me ill find them
3624,true,NEBULA is carefully considering the name of your last story
3625,false,how dare you betray our nebula
3626,false,didnt you record your observations of the demon king of salvation i came here to grab it open the door
3627,true,many constellations are paying the cost of the impossible scenario
3628,true,the story BLANK is complaining of hunger
3629,false,if not one half i thought at least a third of the incarnations would die
3630,true,you have earned the mythgrade story
3631,true,the star relic BLANK has maximized the users accuracy
3632,false,i knew it i bloody knew it
3633,false,actually i can just a little my old man is a god of lightning
3634,true,BLANK will now commence
3635,true,your BLANK is guiding you towards a brand new existence
3636,true,a gap run
3637,true,character BLANK is answering the call
3638,true,you have inherited the power of the demon king
3639,false,kingiskingiskingiskingiskingis
3640,true,if you fail to exit the BLANK will begin
3641,true,many constellations cant close their jaws due to their great shock
3642,false,boy arent you going to answer i am confident in waiting because my patience is as deep as the sea i have already been waiting a long time but there is no reason i cant wait longer
3643,true,BLANK is speaking in your stead
3644,false,you know that nerds always late
3645,false,sakyamuni where is sakyamuni
3646,true,the constellation who doesnt yet have a name is looking at you
3647,false,dont worry there will be no interference from the dokkaebis in this scenario regardless of whether the story is interesting or boring we wont touch it
3648,true,incarnation BLANKtorch that swallowed the myth
3649,true,the constellation BLANK claims to have really seen the demon king of salvation
3650,false,haha of course we wouldnt
3651,true,the constellation BLANK has swallowed his saliva
3652,false,could it be
3653,true,the exclusive skill BLANK stage 0 has been strongly activated
3654,false,your presence might disappear if i use it
3655,false,iif you do this the BLANK will
3656,true,constellation BLANK argues that although that fool is naturally a trickster he can sometimes speak of sensible things
3657,true,the level of the skill is being forcibly adjusted
3658,true,constellations of the neutral system have sponsored you 0 coins
3659,true,your attributes window has been restored
3660,true,the constellation BLANK is raising her nose with an BLANK
3661,false,co me to th e si de of th e gr ea t pl ot ter
3662,false,great sage what is the meaning of this
3663,true,the BLANK has discovered its intended position
3664,true,the constellation BLANK says this isnt a matter to get involved in
3665,false,open the walls
3666,false,oh the gr eat pl otter
3667,false,do not show them your backs we shall never retreat
3668,false,release this wall this this is
3669,true,the constellation BLANK is demanded the release of the weapon
3670,true,the BLANK is looking at the incarnation BLANK
3671,false,ah yyes you can spend frenzied days and nights with them i can give you an endless refill of wine have you heard of the olympus orgies do you know aphrodite if you want i will invite her
3672,false,what why is that
3673,false,a giant story just because of a single dragon what a profitable business opportunity this is
3674,true,constellation BLANK is falling into confusion
3675,false,do you mean to end it like this
3676,true,the star stream has announced the opening of the new stage
3677,true,if the current situation persists the distortion of the world will accelerate
3678,true,constellation BLANK is looking at the underworlds successor
3679,false,demon king of salvation you defeated demon king amdusias
3680,false,didnt you want to come in please enter at any time
3681,false,constellations suffer from insomnia for all of their lives they cant fall asleep without the scenarios and even when they dream they still ingurgitate the stories of others through this greedy devouring they wish to erase the scenarios they find themselves in and they feel anxious all the time even though they dont understand why they feel that way
3682,false,0 forever
3683,true,the constellation BLANK condemns the weakness of the giants
3684,false,dont be arrogant like a stud horse
3685,true,the constellation BLANK misses his old friend when he sees BLANK
3686,false,incarnation yoo joonghyuk the information i gave you isnt technically a revelation it was information received from a special existence
3687,true,influence of NEBULA in the applicable scenario is strengthening even further
3688,true,player 0nim has joined the ive become the retired sssssgrade sun wukong as an BLANK
3689,true,the character BLANK has triggered the eyes of truth
3690,true,the wish ticket used by the constellation BLANK is in effect
3691,false,it will be easier to move inside i will slow it down from outside
3692,false,be careful
3693,true,constellation BLANK is exiting from this scenario
3694,false,sweep them away
3695,true,the constellation BLANK says he doesnt care and is looking at you
3696,false,i wish that the gourmet association will show me courtesy
3697,false,uriel from henceforth you are our BLANK
3698,false,asmodeus you played around in the gourmet association and now youre saying this then do you want to keep going you will eventually lose your incarnation body
3699,true,constellations and demon kings of the great battlefield are glaring at NEBULA
3700,true,the constellation BLANK says to go away and not speak bullshit
3701,false,uh uhh
3702,false,wait is it necessary to do this
3703,true,the constellation BLANK is puffing up his chest with a triumphant expression
3704,true,a nebula that achieves a big win during the candidate ballot battles will enjoy much higher odds of being selected as the BLANK
3705,true,the character BLANK is preparing to activate judgment time
3706,true,some constellations like this fighting in a family
3707,false,you will be called that from today
3708,false,dont look so ugly anymore
3709,true,the constellation BLANK feels deep appreciation towards you
3710,true,archangel michael has become corrupted
3711,true,the stage of the great war of saints and demons will be the 0th demon realm
3712,true,currently the binding force of the BLANK is in a weakened state
3713,true,victor has been decided in the applicable regional conflict
3714,true,0st turns BLANK is
3715,true,BLANK are paying attention to your words
3716,true,transcendent
3717,false,gyebaek youre still no match for me
3718,true,a portion of stories are being shared due to the special effect of BLANK
3719,false,it isnt a constellation
3720,true,the constellation BLANK is disappointed in your rash remarks
3721,false,not bad i see that the scenario has bestowed its grace unto you
3722,true,the nebula olympus wants you to inherit thunder guide
3723,false,kuwaaaaaang
3724,true,the constellation BLANK declares that he will donate coins to anyone who kills a removal slave
3725,false,well okay the stories added are there any more are there no more constellations courageous enough to confront this god
3726,true,the constellation who likes to change sex is giggling
3727,true,congratulations you have officially entered the main scenario
3728,true,the demon king BLANK is controlling the demon kings
3729,true,the constellation BLANK is against the war
3730,false,we watched a small story that grew up all alone fighting against the world itself we watched as you challenged the mighty constellations faced off against the outer god and while resisting against dokkaebis scenarios managing to amass five stories to be reborn as a small constellation among the stars
3731,true,do you want to enter a star rating
3732,false,finally we meet the apostle of  no wait
3733,true,constellations of the absolute good system agree with the judgment of BLANK
3734,true,many audience members are looking at the BLANK in awe
3735,true,BLANK is strongly revitalised
3736,false,hrmm is it really like that
3737,true,the constellation BLANK is rejoicing in the bloody battle between constellations
3738,true,you are currently a participant of the yoo joonghyuk  kim dokja industrial complex
3739,false,i hope that im on the last page with you
3740,true,many constellations are astonished by your scheme
3741,true,hidden scenario has been generated
3742,true,the constellation BLANK reveals hostility towards you
3743,false,it is the stigma of a historicalgrade constellation you are using a petty trick
3744,false,i will watch your story
3745,true,a large number of constellations are revealing their animosity
3746,false,if i go back wont i betray eden again then i would rather remain here
3747,true,story BLANK has concluded its storytelling
3748,false,is everyone here
3749,true,you have acquired an ungradable story
3750,false,you probably have no idea no idea about how boring it can get trying to exist as BLANK in this world agares breathed out the cigarette smoke and continued on it was you who forced the BLANK into this state you erased the particulars of BLANK and you also spread that damn BLANK like some kind of a plague indeed you bastard are the original culprit who managed to break the story of BLANK
3751,true,your sponsor wants you to take proactive actions
3752,false,cheeky guy
3753,false,oops one room is wrongly assigned haha it cant be helped i wish all of you the blessing of the story
3754,false, ohhhhh tthis is
3755,false,i will acknowledge incarnation kim dokja however i cant acknowledge the nebula there are two problems
3756,true,you have triggered a new sub scenario
3757,true,the effect of the heavenly sword of gathering clouds has destroyed all remaining extra lives
3758,true,the precious jade is amazed by your potential
3759,false,there is nothing that can destroy this factory
3760,true,the constellation BLANK feels a sense of deja vu from you
3761,false,please help
3762,true,constellation BLANK is staring at its enemy
3763,false,bring 0 lambs
3764,false,we have to stop here there is no need to fight the giants doing this wont help olympus athena apollon dont you know
3765,true,current number of executioners remaining 0
3766,true,the best supreme king
3767,false,what do you want to fight you want to play
3768,false,focus on the mission gabriel
3769,false,humans since when does olympus care about humans
3770,true,story BLANK is predicting the characters mentality
3771,true,the item BLANK is working
3772,false,after them
3773,true,the star stream has accepted the probability of the father of the rich night entering
3774,true,the BLANK has been killed for the first time
3775,true,the constellation BLANK reveals hostility to nirvana moebiuss sponsor
3776,true,your status has increased greatly and your skill BLANK is strengthened
3777,true,error has occurred during the scenarios selection process
3778,false,and i possess more coins than anyone in NEBULA
3779,false,know that many constellations opposed you lot being chosen as the BLANK we chose you even if we had to go against the flow of those stars
3780,false,we only need the five pillars as long as we have that story defeating that damn monkey bastard will not pose any problems
3781,false,hey wave your hand over here i sponsored you 0 coins
3782,false,you will soon return to earth you will be assigned a BLANK and will perform that scenario in your hometown it is a simple play and i would appreciate it if you enjoyed it
3783,false,it has been a long time demon king of salvation
3784,true,story BLANK is sustaining you
3785,false,yes you are great at leading the scenario in unexpected directions and creating a mess thanks to you i havent been bored for a while i gave you five stars
3786,true,we urge you not to fall for the demons twofaced war tactics
3787,false,from the smallest particle the universe began
3788,true,incarnation BLANK has entered the 0th regional conflict
3789,true,currently five judges are watching the applicable story chamber
3790,true,chaos points are rising up by one
3791,true,the fourth wall is wriggling
3792,true,the constellation BLANK thanks you
3793,true,a private message has arrived from the scenario master
3794,false,the person who invited you will soon send an envoy
3795,false,directornim
3796,false,a reincarnator who leads the unfortunate people to nirvana
3797,false,oh youre already here your nature is too hasty
3798,false,ohohohohohoh
3799,true,a choice befitting you descendant
3800,false,are you planning to go to them
3801,false,lets go maknaeyah
3802,false,should we search through the houses there might be some hidden pieces
3803,true,the exile penalty is accelerated
3804,true,the constellation BLANK is gloomy
3805,true,0 minutes have elapsed
3806,true,applicable star relic belongs to this particular worldview
3807,false,gabriel insulting a fellow angel is a felony
3808,false,nobody hurt their companion
3809,false,i underestimated this halfbreed giant
3810,false,whether he succeeds or fail it will be a loss for you anyway
3811,false,screw you you also polymorphed earlier too geezer
3812,false,but how you were definitely
3813,true,king of a kingless world
3814,true,stigma BLANK is activating
3815,false,the fourth wall didnt answer me
3816,true,the story BLANK is screaming
3817,true,your incarnation has logged into the BLANK
3818,false,you may not be aware of this but from the beginning BLANK had been clearing the scenarios with the purpose of ruining this worldline
3819,true,a group of people who consider BLANK a hero have appeared in the gilobat industrial complex
3820,false,you know the dokkaebi on the other side
3821,true,you have purchased 0 BLANK
3822,false,the fourth wall addressed me y ou kn ow what y ou ve be en d oing ri ght
3823,true,many constellations are greatly stunned by the great dokkaebis decision
3824,false,do you need to ask
3825,true,connection between films is incomplete
3826,true,a new scenario has been given to you
3827,false,baat baat
3828,true,the oldest good has begun its storytelling
3829,true,the character BLANK is preparing for his attribute evolution
3830,true,currently the injection of healing medicine cannot be administered due to the extensive damage to your foundational story
3831,true, current number of incarnations 0
3832,true,the demon king BLANK is doubting your dignity
3833,false,oh you foolish incarnations killing me has no meaning whatsoever if NEBULA is destroyed then youll all disappear too a worldline with its events concluded will be abandoned no one wants to look at such a worldline
3834,false,dear bodhisattva you have arrived at a rather hasty conclusion only the one placing faith in the exceptions of everything can discern the end of the scenario
3835,true,a constellation who likes to change sex claims there are no bad people among those who like to change sex
3836,true,a fragment of the story BLANK has been acquired
3837,true,0 minutes later the second game will start
3838,true,the fourth wall no longer stammered its words
3839,false,try to stop me if you have the ability
3840,true,the character BLANK is shaken by the surrounding scenery
3841,true,the demon kings are doubting the probability of the star stream
3842,false,huh it is funny the master of the nebula is building a BLANK on the same level as the lightning throne
3843,false,there is a cute fly
3844,true,the star stream is correcting the scenario error
3845,false,answer me
3846,true,constellation BLANK is observing you
3847,true,the effect of miniaturization will decrease the size of your body
3848,true,some parts of the story are damaged due to incorrect transmission
3849,true,reaction to story energy detected
3850,false,now you are telling us to stand on the battlefield again
3851,true,the outer world covenant is activated
3852,true,the operation of the stars has begun
3853,true,you have earned the qualification of the end
3854,true,great dokkaebi BLANK empty body has appeared in the scenario
3855,true,the rules of the BLANK will apply to the applicable BLANK
3856,true,you have partially completed the fourth condition of the BLANK
3857,true,you have concealed yourself in the nearby terrain
3858,true,character BLANK is feeling happy
3859,true,the creation of a new body will delay the collapse of your existence
3860,true,constellation BLANK is roaring out in rage
3861,false,fuck its those guys
3862,false,killthemkillthemkillthemkillthemkillthem
3863,true,judge BLANK wishes to hear your next story
3864,true,stigma BLANK is on standby
3865,false,exploit your companions to the fullest and become an existence that does not save anyone indeed you shall become a BLANK that only lives for himself
3866,false,the fourth wall cackled on i felt slightly encouraged by that laughter and took another look beyond the window
3867,true,story fragment BLANK has been successfully extracted
3868,false,but my world is you persephone
3869,true,the constellation BLANK is asking why you are her successor
3870,false,your are now summoned and are like chicks who have lost their mother of course there are people who have already chosen a good sponsor but you should know that it isnt easy to survive in this world thus you have to find a BLANK to protect yourselves they will be the BLANK who protects you until you become a mighty incarnation
3871,true,0rd regional conflict has been forcibly concluded
3872,true,lack of will to fight by the participants of the applicable battle has been confirmed
3873,true,the powerful skill penalty will encroach on your body
3874,false,how pathetic odin allow me to help
3875,false,im not here as part of eden
3876,true,nebula NEBULA is unhappy at the unannounced participation of the applicable role
3877,true,BLANK have discovered a new cabin
3878,false,someone who hasnt even performed the task of succession
3879,false,hahaha what is the modifier of this constellation was it demon king of bragging
3880,true,third condition for the hidden scenario  the BLANK has been met
3881,false,0s height grew back up in an instant and regained the exact same appearance as yoo joonghyuks
3882,true,BLANK is violently writhing around
3883,true,constellation BLANK is criticising you telling you not to use a cowardly method
3884,true,there are unread messages left in midday tryst
3885,true,constellation BLANK says that wish cant be granted
3886,true,chaos points have reached 0
3887,false,eh ah tthats right if you choose our story youll become an eunuch that cant be
3888,true,the constellation BLANK covers her eyes with embarrassment
3889,true,BLANK is waiting for you
3890,true,a story is required in order to evolve the attribute
3891,true,the highest turn BLANK you can read is BLANK
3892,false,the human body is really uncomfortable
3893,true,stories related to you are ruminating on the old memories
3894,false,if you are trying to save your mother give up it is a situation where the shadow of founders mother is eaten your mothers soul would already be scattered
3895,true,the story BLANK says you shouldnt run away anymore
3896,true,the constellation BLANK is making an insidious smile
3897,true,going to the 0th scenario area
3898,true,the victor has been decided in the BLANK
3899,true,warning this power cannot be fully blocked by BLANK
3900,true,new coordinates for the 0th regional conflict have been set
3901,false,and that is why youre all losers
3902,true,the constellation BLANK is shedding resentful tears
3903,true,korean peninsulas ancient constellations are in lamentation
3904,true,the item BLANK is activated
3905,false,i wont be hurt by this much
3906,true,the authority of the BLANK is activating
3907,true,the constellation BLANK is asking you for clarification
3908,true,reading has failed
3909,true,0th gate is currently in activation
3910,true,a sacred torch relay
3911,false,how will you make a sacred torch without the sun
3912,false,0 then slowly pulled out a sword from his inner pocket surprisingly it was not the splitting the sky sword
3913,false,its a technique of BLANK
3914,true,the gods of the outer universe are greatly confused after hearing of the death of devourer of dreams
3915,true,a great number of players are exiting the scenario
3916,true,second phase will come to an end soon
3917,true,the portal cant be used due to the intervention of a strong presence
3918,false,it seems that the fires been rekindled after the BLANK summoned them back then
3919,true,many audience members are looking at you
3920,true,constellation BLANK is intrigued by your choice
3921,true,the constellation BLANK is craving your coins
3922,false,you dont know gigantomachia has already started
3923,false,the scenario is just a scenario in addition that scenario has ended thats all that my hammer and i know
3924,false,captain its not even 0 years yet
3925,false,kuheeeeok hhow how can
3926,false,tell me the details accurately what happened you know something
3927,false,we of the underworld came here to protect our successor
3928,false,this world line also has value i dont want to depend on this insidious guy but i think it is better to find out more about this world i have an obligation to find out why the eden here was destroyed what things will happen in the future and to inform the original world
3929,true,constellations of the absolute good system oppose the ruling
3930,false,is that why you came to us instead of asmodeus
3931,false,young child you wont understand
3932,false,its fine trust yourself
3933,true,your modifier
3934,true,the constellation BLANK likes your desire to rehabilitate a fallen friend
3935,true,you can escape seoul dome
3936,true,your mind cant cope with your evolving incarnation body
3937,false,thats not something for you to decide because
3938,true,chaos points have exceeded 0
3939,true,the dokkaebi bag feature is now available
3940,true,a considerable number of constellations are questioning the probability of your actions
3941,true,unknown gods of another world are staring at your existence
3942,true,you have paid 0 coins to incarnation anna croft
3943,false,come steel sword
3944,false,why did you re veal your self
3945,true,the story BLANK misses the taste of the snake wine
3946,false,state your reason for summoning me oh the arrogant constellation
3947,true,BLANK is vibrating intensely
3948,false,what the hell is this where is the creation god why is he invisible when something like this is happening
3949,true,constellation BLANK is incarnating into the ark
3950,true,hidden scenario  BLANK final condition has been met
3951,true,constellation BLANK is now looking at his own incarnation
3952,false,what are you talking about do you even know how long that will take are you going to brainwash people like this every time you enter a new worldline
3953,false,heknowsusheknowsusheknowsusheknowsus
3954,false,is it the place we want to reach or the place destiny is leading us to is it a place a life or a space
3955,true,the subspecies of the demon realm will be afraid of you
3956,true,incarnation BLANK is unleashing her status
3957,true,the constellation of a small planet has entered the channel
3958,true,the fog of the gorge is thickening
3959,true,the seventh main scenario is currently underway at seoul dome
3960,true,constellation BLANK has reached his new
3961,false,ah i will help you get there ill prepare it right away
3962,true,constellation BLANK has revealed its status
3963,true,the sub scenario  seoul revolution has ended
3964,true,the constellation BLANK dislikes you
3965,true,giant story BLANK is expressing its puzzlement over the existence of incarnation BLANK
3966,true,the thinker of lies and secrets is wounded and has exited from the scenario
3967,false,do you want to come out and say it yourself
3968,false,there are many different types of buddhas in this world and im merely one of them
3969,true,the exclusive skill giant body transformation lv 0 is activated
3970,false, i waited for you the one pursuing the BLANK
3971,true,judge BLANK is waiting for your choice
3972,false,ti me to ke ep yo ur pr omi se
3973,true,0th turns BLANK is keeping his silence
3974,true,currently by0s picture transmission is in a temporary suspended state
3975,false,hmm i dont see your modifier on the list of evil spirits
3976,true,BLANK speaks to you you who have deceived the entire world by relying on the story only you know and lived until now do you possess the right to be saved
3977,true,the constellation BLANK doesnt exist in the star stream
3978,false, if he succeeds he will be closer to the BLANK than anyone else
3979,true,a constellation that likes to change gender is giggling away
3980,true,your fame is strengthening your current stories
3981,false,arrogant transcendent what bullshit
3982,true,you have killed one competitor to date
3983,true,excessive interference might cause the worldline to strongly resist
3984,true,a powerful presence doesnt allow your BLANK to fall apart
3985,true,currently you cant exercise control over these stories with your power
3986,false,for a long time you and i decided on the BLANK of this world didnt we
3987,false,he is really your incarnation
3988,true,a portion of constellations like the BLANK story
3989,true,demon king BLANK has chosen the camp to side with
3990,false,the baby dokkaebi recognizes you as a parent
3991,true,constellation BLANK is looking at her own incarnation
3992,false,the ugly squid is waving his ten legs
3993,false,it will be the hardest story in the world there has never been such a story
3994,false,i think ive heard about him before blinded by coins he continues to pump out trashy stories
3995,true,wall dividing good and evil is confused on how to judge your existence
3996,false,id like to apologise for the matters of the last time
3997,true,the minimum number of items specified by the user is shown
3998,true,the BLANK is forcibly reproducing your story
3999,false,hahah slow down small constellation please entertain these old people
4000,true,NEBULA is resisting against the great dokkaebis interference
4001,false,look there is no such thing as a revolution it is just the roleplay of the scenario
4002,false,what did you say
4003,true,the 0rd turn you dont remember anyth
4004,true,i BLANK declare my intention to
4005,true,aura of calamity at the hottest place in hell is opening its eyes
4006,true,story BLANK is activating
4007,true,the lords of the big dipper constellation are startled by your presence and are passing out from shock
4008,false,believe in me
4009,true,many constellations are astounded by your story
4010,true,NEBULA is stunned by the sudden upheaval of the scenario
4011,true,BLANK is observing the direction of the final scenario
4012,true,0 additional points have been awarded
4013,true,great dokkaebis are closely listening to your statement
4014,true,your story is being extinguished
4015,false,the dokkaebis honor is at stake she might not be a member of the bureau but i cant see this
4016,false,im guessing that youre the BLANK
4017,false,since when did a dokkaebi have such human aspects if there was such a thing you shouldve given it to my ancestors
4018,true,you have become the 0th demon king
4019,false,lying is one of the virtues of BLANK have you forgotten that already
4020,true,a portion of constellations of the NEBULA are in awe of your achievement
4021,true,the usage of most BLANK created after the first generation is limited on this island
4022,true,some constellations are dissatisfied with the progression of the scenario
4023,true,the helper BLANK has killed the helper BLANK
4024,true,the story BLANK is crying out
4025,true,a number of constellations of the neutral system favour your nebula
4026,true,the constellation BLANK pulls his hair in excitement
4027,true,the fourth wall says that the demon king BLANK is looking at stupid kim dokja
4028,true,all executioners in the industrial complex have died
4029,true,you need to select your camp in order to enter the applicable battlefield
4030,true,the constellation BLANK is looking pitifully at the BLANK
4031,false,follow the south palace sword kings study
4032,false,there will be a new explanation at that time you cant go there now so dont worry
4033,false,what power is this
4034,true,BLANK has commenced
4035,true,in return the rest of your companions will start in locations that this self has selected
4036,true,calamitys probability has exceeded the scenarios limit
