type,line
false,hrmm release havent you looked outside do you really want to go out there the dokkaebi chuckled it is somehow admirable in fact i didnt expect much from this carriage but you managed to pass the first scenario this proves that even bugs deserve to survive
true,the exclusive skill blank has been acquired
true,the achievement points of the red flag are rising
true,the exclusive skill BLANK shaking has subsided
true,due to a collision error with your exclusive skill the privilege of king of no killing would be delayed
false,are you planning to take the money without letting me eat
true,the character blank has used blank
true,the blank has controlled the character blank
false,do you know what this means
true,many constellations are paying attention to BLANK
true,you have earned 0 coins
true,the constellation linked to the star relic BLANK has disappeared
true,you can use the flags abilities
true,the 0th grade plant species BLANK is on the lookout
true,due to high fatigue you are unable to activate omniscient readers viewpoint stage 0
true,the special option of dongui bogam  incomplete has been activated
true,this person isnt registered in BLANK
true,due to the effect of your exclusive attribute your memories of some scenes became stronger
true,many constellations are relieved
true,the constellation blank is disappointed
false,this is also easy think of it as a game to relieve stress
true,the constellation BLANK is listening to your words
false,tthen i will let everyone take care of it yihihihit the dokkaebi said these words and disappeared
true,the hidden scenario has arrived
true,the bounty hanging on kim dokja has been destroyed
false,shouldnt good children be awarded a prize
true,character BLANK has activated comments manipulation lv 0
true,many constellations of the korean peninsula are cheering for your reenactment
false,something called me
true,the constellation BLANK is going crazy from all the sweet potatoes sweet potato is slang for when something is so frustrating that there is a stuffy sensation
false,hhow do you know my name
false,it was because you didnt kill him when he entered the underworld
true,the small planets constellation has discovered you
true,your soul is attuned to the world
true,kill history one grasshopper 0 grasshopper eggs
false,of course it was is there something wrong with my channel that level of information is automatically filtered
true,the skill conflict error is normalized
false,why call us
true,the new attribute king of no killing has been obtained
true,due to excessive immersion the influence of fourth wall has temporarily weakened
true,many constellations are watching the situation with excited eyes
true,the sub scenario has arrived
true,a few constellations want you to move to a new place quickly
true,taming lv 0 has been activated
true,some constellations want to pay back the nations humiliating history
false,tthats right strictly speaking it is broken faith that has absorbed the purest sword force and made the blade looking at the dokkaebi he wasnt a complete idiot amazing there is this guy in that brat bihyungs channel
true,the new king candidate has started to walk along his road
false,ii understand
true,the character kang ilhun is now a wanderer
true,there are 0 hour and 0 minutes before the third scenario is activated
true,a constellation who loves gundaos has revealed his modifier
false,0 no 0 0
false,someone has already fulfilled the requirements for the first qualification once again this is interesting
true,if the first killing doesnt occur within the next five minutes all lives in that carriage will be wiped out
true,your total stats have decreased
false,whats the matter it is simple entertainment before we enter the game
false, great demons eyes  stock 0
true,you have succeeded in acquiring weapons by yourself
true,if you want to occupy the station take the flag of dongmyo station or occupy its flag holder
false,ill let it pass just once because of your courage take that woman away
true,the decision to die has improved your fighting power
false,child this is the only time i will respond to a call
true,the character blank feels a faint trust in you
false,it is real
true,the constellation BLANK wants your blood
true,the excitement of some constellations has reached a critical level
true,the sgrade three ring loop has disappeared as a sacrifice
false,now now all constellations please calm down unfortunately the event had to be cancelled because we are lacking one person
true,physique and magic power has increased by 0 each
true,you have entered the safety zone
false,im really sorry everyone
true,the constellation BLANK is touched by your companionship
true,new characters have been added to your bookmarks
true,there are 0 seconds left to the end of the scenario
false,mmy friend who was originally in charge of this channel is undergoing disciplinary action sso i am responsible for this scenario
true,you have been hit by a projection light
true,the character blank wont hesitate to be your sword in the future
true,the constellation BLANK is smiling
false,the constellations didnt use the sponsorship system but sent it directly to me instead i dont know why ill give it to you later ah there are these messages as well
true,the exclusive skill BLANK has offset some of the drunkenness
false,hrmm it sounds like you were waiting for me
true,a few constellations are smiling as if they already know
true,the character blank has started to feel responsible
true,the constellation BLANK and BLANK has created an ensemble effect
true,you have won the flag of the BLANK
false,so arrogant then i will open the channel again please try hard
true,the recreation of your flesh has begun
false,the uninvited guests should stay quiet
false,there is something strange about you your mind is intact despite hearing my true voice
true,the channel is going crazy
true,the character BLANK has received a faint consolation
true,many constellations are enjoying the development of the scenario
false,everyone your lives have been nice so far isnt that right
true,you have earned 0 coins as an achievement reward
false,hihit it isnt my responsibility iit is bihyungs thing
true,damage from external attacks is reduced by 0
false,you can ask
true,you have received a bonus skill for smooth communication with the other world species
false,oh of course it isnt you
true,the small planets constellation has turned red with shame
true,the 0th grade species parasite antinus has activated accelerating wings lv 0
true,if the white flag doesnt change owners in the next five minutes chungmuro will be under his control
false,dont worry the snake will be wherever you go
true,some of the probability constraints on the constellation BLANK has been lifted
false,hahaha everyone have you been well
true,you have met the conditions to clear the hidden scenario
true,the number of coins used for the stats level up is automatically subtracted
true,skill book calm observation
false,the incarnations of seoul are really hottempered other areas arent so eager to wake up the disaster and are struggling to avoid the disaster
false,what do you mean you can just say that you agree the stream contract is a soul pledge
true,characters younger than BLANK will feel respect for her
true,the character BLANK has used the stigma baekje kendo lv 0
true,the hidden scenario  BLANK has been achieved
true,your understanding of the character BLANK has increased dramatically
true,the 0th grade parasite antinus is looking at you
true,0 coins have been acquired for clearing the hidden scenario
true,the character BLANK is about to evolve
false,the enforcement right is a power that demands the greatest amount of probability from a dokkaebi did you think you would be safe using this authority for such a crude development
false,how can you be so sure
true,the constellation blank admires your wickedness
true,the item temporary pledge has been used
false,your dare oppose baekchung
true,the item blank has been acquired
true,you have earned 0 coins as a reward for BLANK
true,the constellation blank is wondering what you are doing
true,the excessive immersion has caused the blank to shake
false,your words are going too far
true,all stats have increased significantly
true,a disaster woke up in the fourth scenario
true,the constellation blank is watching your choice
true,the incarnation BLANK has been completely deprived of the rights of a disaster
false,yes thats right you dont seem panicked at all
true,the thickness of the exclusive skill BLANK has temporarily thinned
true,the constellation BLANK is focused on your actions
true,the accumulation of stats will increase the level of purest sword force
false,aaaack
true,the random draw has started
true,go to the helipad on top of the research laboratory
false,indeed
true,all constraints on the kings have disappeared
false,that paper has no value in the macrocosm world if you do this one more time i will blow away your head
true,the fourth main scenario is about to begin
false,the pasta next to it you can become a BLANK if you eat it
true,a constellation who praises friendship likes your actions
true,the character BLANK admires your spirit
false,thats why ive brought good news from now on the second qualification test will begin
true,the constellation BLANK applauds your spirit
true,taming has failed
true,be careful about your breathing and move underground as quickly as possible
false,ah of course i cant really help you im just saying that will you sign the contract
true,the conditions of use for the exclusive skill blank lv 0 have been reached
false,where did you hear that hey do you know how hard i defended you administrator please listen to me kim dokja isnt a scammer or a strange person he is just a very hard worker
true,many constellations are confused by the unexpected development
true,your understanding of the character BLANK has increased
true,the character blank has grown
true,the constellation BLANK resents the appearance of hostile constellations
true,due to the effect of your exclusive attribute memories from the books you have read will become stronger
false,who is this
true,the skill has been cancelled
false,your mind will be completely destroyed
true,the constellation blank is sad about your trauma
true,BLANK min jiwon has abstained from the battle
true,your understanding of the character is significant you can select some of her skills to import
false,very interesting but it wont turn out as you think
true,the hidden scenario has been updated
true,list of available functions
true,you have obtained 0 coins in compensation
true,you will lose the achievement points of all the scenarios you have built up and will be demoted to a lowgrade dokkaebi after your punishment
false,are you a scammer
true,the scenario difficulty has been adjusted
true,the history of this person has been updated
false,he wont come for a while he is being properly disciplined he wont come before the fifth scenario opens ah my channel also upgraded again hopefully i can reach the intermediate level next month it is all thanks to you
false,wwhat does this mean
true,0 sponsor the incarnation
true,the constellation BLANK is embarrassed
false,yes what are you going to do with that notepad you will die if you stay still ha i believed in a guy like this and sighed a contract
true,the fourth scenario is forcibly ended
false,incarnation kim dokja you are the smartest and scariest out of all the incarnations i know
false,huhu huhuhut look at this look at this now my channel is also
true,you have obtained 0 coins as compensation
false,ah of course i should naturally give it to you you are the one who made this scenario interesting
true,some constellations want to see 0 small people being killed at the same time
true,some members within the group fell a sense of trust towards you
true,the effect of the ice pill will add BLANK to the ether property
true,a new bounty scenario has arrived
true,a constellation who likes to change gender is sad
false,hrmm you are disrespectful do you think i cant afford this probability
false,the bigger the despair the darker the story
true,the constellation BLANK is watching your strategy with interest
true,the constellation BLANK is watching the situation with curious eyes
true,the second seal of the returnee BLANK has been released
false,this is why you came looking for me
true,the constellation BLANK is curious about your tactics
true,you have the first choice of additional compensation
false,tthat i also dont know you borrowed the power of an archangel and our contract was destroyed
true,the constellation blank is disappointed in you
false,we originally didnt mean to monitor you it is just a coincidence that we found you
true,the constellation bald general of justices mouth is gaping open
true,you have acquired 0 coins
true,the character BLANK has used great black fire cannon lv 0
true,the BLANK is shaking due to your high emotions
true,you are the first to try and support a constellation
true,the exclusive skill BLANK is shaking ominously
false,there is a lingering attachment please understand
true,ganpyeonguis special option BLANK has been activated
true,a new sub scenario has arrived
true,the constellation BLANK wants to talk to you
false,bihyung what the hell is this
true,the constellation BLANK is annoyed at the appearance of these constellations
true,a few constellations belatedly understand your judgment
true,a constellation worried about the degradation of oriental medicine has revealed his own modifier
false,hoh
true,you arent a constellation you are unable to use most of the functions of a sponsor
true,mikazuki munechika  replica agrade sword
true,a constellation that enjoys subculture is interested in you
false,you have been living too long for free isnt life too generous you were born and paid no price for breathing eating pooping and breeding ha you really live in a good world
true,broken faiths durability has run out this item is no longer available
false,wait
true,the effect of the item protection symbol of the imyuntar has increased understanding of the specific language
true,congratulations you have passed all the tests of the absolute throne
true,exclusive skill omniscient readers viewpoint is already in use
false,what
true,the constellation blank scoffs
false,you are you crazy
true,the constellation BLANK threatens the newly appeared constellations
true,the constellation BLANK has blessed you
true,constellations please note that the incarnation kim dokja can receive a penalty if coins are sponsored
true,the character BLANK feels a faint loyalty to you
true,the constellation blank is interested in your past
true,the character blank feels a faint loyalty to you
true,a few constellations are holding their breaths
true,the chill of your heart engulfs your entire body
true,the achievement has been processed you are the first to achieve a three digit level in strength
false,a sudden demotion shouldnt you tell me what i did wrong
true,many constellations are interested in the development of this scenario
true,0 intermediate magic power recovery potions have been acquired
true,there is too much information about this person character list is converted to character summary
false,what did you say just now
true,the constellation blank finds your idea interesting
true,currently occupied chungmuro main base myeongdong dongdaemun history and culture park dongdaemun dongmyo sindang station cheonggu station yaksu station sinseoldong station
true,the 0th grade tyrannosaurus rex has recognized you
true,the constellation BLANK is proud of the incarnations on the korean peninsula
false,hhiiik nno
true,the constellation blank has closed his eyes
true,the constellation blank as added a condition to the contract
true,many constellations hate your new drama
true,the constellation blank has recommended your scenario to star stream
true,0 coins have been sponsored
true,the constellation blank is looking at blank with sad eyes
true,physique enhancing ampoule
false,havent you been having a hard time gathering coins i know it all your life collapsed overnight and now strange existences are taking your coins the people who were friends yesterday are suddenly stabbing you today im glad im not you right now the stars in the sky are probably tell you hey shake your ass a little better ill give you 0 coins
true,the character blank has activated the exclusive skill blank
true,the constellation blank thanks you
true,the character BLANK is deeply shaken
true,from now on all skills stigmas and special item options will be sealed
false,the people of the underworld arent as terrible as you think most of the known theories are false you can go out of the underworld at any time as long as you have the permission of the king it is a similar concept to a BLANK in your world
false,unfortunately among the channels operating in seoul dome there is a channel that has been illegally manipulating the scenarios
false,hahaha this this you were only looking at the big picture and missed something important
true,you have purchased one ellain forest essence
true,a constellation who likes to change gender wonders about your heart
true,the constellation BLANK is focused on your choice
false,okay
true,the constellation blank likes the destruction and chaos
false,how can an incarnation become a platinum member
true,the size of the channel is reduced
true,many constellations are in favour of the dokkaebi bihyungs words
true,due to the character evolution a new stigma has been opened
false,you called all of us
true,the constellation BLANK is looking at you like he is sorry
true,in the depths of your soul the power of the BLANK is wriggling
true,the incarnation BLANK has been given a third scenario penalty
true,many constellations are excited about your design
false,no preferences look at this constellations i am a dokkaebi dont you know that i will be extinguished if i do that dont you know that the storyteller vow is never light
false,i received so many indirect messages that i didnt send them to you do you understand
true,the constellation blank is delighted
false,huhu everyone is doing well so many people are doing hidden scenario then what is the meaning of BLANK
true,there are 0 minutes before the third scenario is activated
false,im not talking about the hydra only heracles can kill it the snake you have to kill is somewhere else
true,the hidden scenario  queen of the underworld has ended
true,the constellation BLANK hates the incarnation yoo hyunho
true,the achievement points of the brown flag are rising
false,do you think you are in a position to talk to me
true,the personality of the character is forcibly changed
true,you have confirmed that the statement is true
true,there are 0 seconds left to complete the scenario
true,the compensation will be settled
false,yes the dokkaebi who reported you is bihyung
true,rich cats leather suit
true,presenting the list of available skills
true,the constellation BLANK smiles with satisfaction at you who has succeeded his stigma
false,crazy human what human did i sign with
true,the constellation blank is encouraging blank
true,the attribute overlay effect of the ice pill will increase the attribute damage
false,this cant be i am dokkaebi bihyung if i cant solve this situation the honor of the dokkaebi
true,strength enhancing ampoule
true,main scenario 0  emergency defense has ended
true,the constellation BLANK has responded to your request
true,system error
true,the survival value will be settled
true,thanks to your death your consciousness has been completely liberated from the constraints of your body
true,kill one or more living things
true,the fourteenth seal of the returnee BLANK has been released
true,the constellation BLANK is looking nervously at you
false,is this the story that you wanted to show
true,the midday tryst has started
true,the constellation BLANK is immersed
true,mjolnir  replica agrade blunt weapon
true,the dokkaebi of the star stream sees lee boksoons behavior as taking action against the scenario
false,ah shit really
true,you have found a hidden dungeon
true,a constellation who wants your death has given you an defense penalty
true,the constellation BLANK is laughing with delight
true,perform the duties of a disaster
true,your physique has slightly increased due to absorbing the power of the ichthyosaur
true,you have a very high understanding of the character BLANK
true,constellations belonging to black cloud are shaken by the anger of the abyssal black flame dragon you wont be sponsored by any of the black cloud constellations for a while
false,i have regrettable news for the constellations who have watched the scenario with interest so far
true,advanced diverse communication lv 0 has been activated
true,the constellation BLANK is greatly pleased with your story
true,a station that has been occupied cant be taken from you unless the BLANK or flag is taken away
false,i dont accept outsiders as a disciple in addition your strength is lacking to be qualified
true,the constellation BLANK is looking at you
false,interesting you gave up your existence for another planet
true,you are using the unique permissions of a representative
true,the constellation BLANK is cheering for the historicalgrade constellations
true,your first stigma is ready to germinate
false,there are no good memories here this place
true,a few constellations admire your will to survive
false,is there any fun if you just run away lets create a bit of atmosphere
true,the BLANK request is currently underway at the administration bureau
true,the exclusive skill BLANK has attenuated the mental pain
true,you have exhausted the number of times that ganpyeongui can be used
true,a few constellations are suspicious of the privileges you have received
true,your understanding of the character blank is increasing
true,the BLANK power of the dragon jar has shown its strength
false,wwhat
true,a touch of talent sleeping in your soul has blossomed
true,all seals of the returnee BLANK have been locked
true,someone has dealt with the disaster of water in the north
true,you have purchased one old barbara branch
true,from now on you can use the BLANK with the group members
true,a large number of coins has been acquired do you want to check the coin usage tips
true,the dokkaebi of the star stream sees shin yoosungs behavior as taking action against the scenario
false,that that isnt the case
true,all existing stockpiled food has disappeared
true,the authority of king of no killing is retained due to the indirect nature of the killing
true,your influence has expanded by taking over a new station
false,hoh you will
false,you are afraid of what is behind you thats why you are a pitiful child
true,due to the early hatching penalty you wont be able to attack the disaster of questions for three minutes
true,the constellation BLANK hates
true,the 0th grade fire dragon species BLANK has appeared
true,the character anna croft has triggered lie detection lv 0
false,0
false,wait a minute can i talk to you for a moment
false, mucus of the hammer seahorse  stock 0
true,the character BLANK has used the stigma BLANK
true,the constellation BLANK is a little sad
false,do you miss your first companions now prepare to face the disaster your companions are waiting for you in the other world
true,phantom prison
false,i held her for a while with my power but you dont have much time left if you want to save her
false,you dont like older women like this
true,the given time has run out
false,if i interfere with the scenario other constellations watching the scenario will also be able to move all i can do is watch the end of my home
true,the character BLANK has used sages eye lv 0
true,you have exceeded in overall stats limit for the scenario
false,hey be careful from the fourth scenario onwards for such a widescale scenario the intermediate dokkaebis have jurisdiction
true,affinity with the species from a different world has increased
false,really no is this real
false,as an apology i will create a compensation event
true,a few constellations are looking forward to the words you will say to yourself
true,some existing green zones will be disabled
true,the fifth grade seawater species the BLANK has been discovered
true,your current body configuration is similar to the physical makeup of the character
false,hrmm it is difficult this is why males are
false,this issue involves you kim dokja
true,the constellation BLANK has doubts about your existence
true,the constellation blank nods at your reasoning
true,the constellation blank hates spoilers
true,attack and defense has increased by 0 each
true,main scenario 0  meeting has ended
true,you are able to use the perks of the black flag
true,the constellation BLANK is calmly watching the situation
true,current number of subscribers 0
false, how this
true,the constellation blank is pressing you with shining eyes
true,the constellation blank is flaring fiercely
true,the exclusive skill BLANK can now be activated
true,the constellation BLANK is snorting from the relentless punishment
true,character BLANK has activated military command lv 0
true,the 0th grade outside species BLANK has been killed and the demon king BLANK has noticed the murderers presence
false,ddemoted wait wait a minute
true,the exclusive skill blank has neutralized most of the blank effect
false,survivors are advised to gather in yongsan station
true,the constellation blank admires it
false,it seems like your luck ends here incarnation kim dokja
true,a small planets constellation is supporting the incarnation BLANK
true,you are one step closer to the kings road
true,the constellations blessing increases your strength and physique by 0 for the next 0 hours
true,the subscenario  sssgrade hunt has ended
true,the constellation BLANK expects you to do your best
true,the small planets small constellation has received a large shock
false,geez there is really nobody
false,if you want to die then i will kill you
true,the fourth main scenario will start in 0 minutes
false,did you accidentally pick an incarnation with a bad attribute dont worry the blank that can randomly change the attribute has been released
true,from now on all kings cant receive the support of their sponsor
false,honestly it was amazing there were some constellations i couldnt afford to go against they are all chasing after one incarnation
false,bihyung prepare the compensation
true,the constellation blankbiryu
true,the exclusive skill BLANK is activated
false,haha what is your question it is a natural right to be able to use coins the BLANK are the hardearned work of the incarnations they worked so hard to gather coins that they should have a chance to use it
false,constellations incarnation kim dokja colluded with the channels streamer BLANK he deliberately concealed his strength and manipulated the development of the scenario he made the scenarios harder for malicious purposes
true,the constellation BLANK is severely criticizing kyrgios rodgraims interference in the scenario
true,the thirteenth seal of the returnee BLANK has been released
true,the eyes of a few constellations are shining
true,the constellation blank looks at the descendant of an old friend
false,they are fed up there is still an uproar about what you were talking about
true,the demon king blank has put a terrible curse on the person who dealt the final blow
false,haha i see is that what you were thinking i heard from dokgak but you truly put on a great show
false,how interesting
false,it looks like you need some motivation
true,the constellations scenario blank has been activated
true,hunt the BLANK in 0 minutes
true,your heart is seething with an unknown energy
true,the twentyfourth seal of the returnee BLANK has been locked
false,please note that only five kings can challenge the final qualification of the absolute throne the remaining number is lets see
true,exclusive skill omniscient readers viewpoint stage 0 has been activated
true,this person doesnt have any consciousness the skill omniscient readers viewpoint will be cancelled
false,there isnt much time so get to the point
false,hhow are you all doing havent you been free for a while
true,constellations who love the korean peninsula want you to keep your promise
true,you have achieved the blank achievement
true,you have purchased one detox potato
true,a constellation who likes the korean peninsula wants to be your sponsor
true,the constellation BLANK is pleased with your judgment
false,sstop i understand so stop
true,an amazing agility lies in your body
false,bay0 channel daepong girls high school year 0 class b survivor lee jihye
true,0 coins have been rewarded
true,your understanding of this person is already very high
true,the 0th grade plant species BLANK is looking at you
true,absolute shield wont activate when the number on the foothold is exceeded
true,the star stream thinks that your arent performing your disaster duties properly
true,you are approaching the outside region be careful not to leave the scenario area
true,the skill activation is cancelled
false,then i will ask the last question how did you notice that we were watching
false,if you feel uncomfortable then i can change to someone else
false,dammit there are still remnants of the black history left why is that box there
true,the character BLANK has used the exclusive skill widearea defense
true,you have saved a life
true,constellations of tokyo dome are listening to you
true,the constellation BLANK is laughing at you
true,performers kim dokja jung heewon lee jihye lee gilyoung
true,if you dont kill the rule of peace land in the next hour you will be deemed as unwilling to act as a disaster and will be deprived of the status of a BLANK
true,the character blank has activated the interpreter lv 0 skill
true,you have entered a hidden field using 0 sang pyong tong bo coins
true,current group 0 people
true,a constellation who likes to change gender has shining eyes
true,you have been given a first scenario penalty
true,the constellation blank is satisfied with your plan
true,someone is using explore attribute on you
false,thats right what do you want with the solo meeting right the platinum qualifications allows you to meet with a senior dokkaebi the appointment schedule
true,intermediate dokkaebi BLANK you shall be arrested for violating the star stream regulations
true,BLANK has been acquired
true,now you can move to the next floor
true,you have become the cosponsor of blank due to the contract
false,as you have guessed the fourth main scenario is to be the only king to sit on the throne of course not every king can sit on that throne only a person who has proved their qualifications can sit there
true,the early hatching penalty has ended
false,some constellations are poisonous so i cant spare you it is also hard to downgrade the difficulty
true,you have accomplished a nonexistence achievement
true,several constellations with scenario recommendations have been added to the channel
false,a person who looks backwards in the underworld will feel regret you need to understand that the time has passed
true,the constellation BLANK is angry with the corrupt officials of joseon
true,a handful of constellations admire your scenario
false,do you really want to hear it you will regret it
false,thats right you are the incarnation kim dokja right
true,there is one new hidden scenario
false,this is a constellation will it sign with an insignificant human
true,the constellation BLANK is coughing at the pretentious people
false,then it cant be helped i originally wanted to announce this after paying the BLANK but im sorry
false,kuaaack bihyung screamed like he had received an electric shock the white fluffy hair on his skin was burned black tthis this
true,please select the type of dungeon you want to enter
true,the constellation blank nods his head
true,the character blank demands 0 coins for invading his private land
false,you have already missed the opportunity look around you this isnt a main scenario you failed a subscenario and now your life is at risk there are no constellations watching you
true,blank has paid you 0 coins
true,you arent qualified to take past in the last kings qualifications
true,scenario difficulty e > d
true,a new subscenario has arrived
true,some constellations are disappointed with your hypocrisy
true,physique and magic power has increased by 0 levels each
true,the benefits of the king of no killing has been completed
false, executives what are you doing
false,you do know that the sixth scenario involves korea and japan together have you already forgotten
true,this shrine has been neglected for a long time
false,sstop you are
true,the twentythird seal of the returnee BLANK has been locked
true,your muscles are squirming like they are monsters
true,a constellation who doesnt like the fun to be spoiled has a taste of regret
true,the constellation blank is biting his nails
false,why am i receiving a probability storm
true,0 coins
false,survivors from the 0 train to bulgwang carriage 0 kim dokja lee hyunsung yoo sangah han myungoh and lee gilyoung a total of five survivors
true,a toughness that is one step higher has protected your body
false,by the way why dont you buy a growth package ill sell it for a cheap price if you buy it now arent you suffering right now because you cant learn that skill this package
true,the constellation BLANK congratulates you on your safe return
false,did he recommend a steak like me for example the steak currently in front of you do you know what will happen if you eat it
true,the constellation BLANK swings his rod as if he has been provoked
true,an additional selection reward exists
true,biryus channel bir0
true,the character yoo joonghyuk has confirmed that the statement is true
true,changing your viewpoint to first person
true,the constellation blank has nodded at your exciting remarks
false,feel free to speak you how can an ordinary human know about the star stream broadcasting
false,do you see the screen
true,the character BLANK has used BLANK
false,every world has a time of destruction and every story comes to an end for this planet that time is now
true,item information
true,lie detection has confirmed that your words are the truth
false,dont you know the probability meeting is like a tax investigation in any case you will have a hard time for a while
true,lie detection has confirmed that your words are false
true,you should look in BLANK
false,insert the five protection symbols
false,i cant give a refund if you regret it now do you understand
true,an impossible feat has been accomplished
true,the constellation BLANK has thanked you
true,the constellation blank resents this frustrating person
true,the constellation BLANK is chanting his own modifier
true,the effect of BLANK weakens your mind
true,there are 0 seconds left for bookmark
true,the constellation blank frowns at the appearance of the uninvited people
false,haha you are really making me angry look now the dokkaebis flatshaped eyebrows wriggled furiously it was time to stop the taunts and get to the main point
true,a few constellations are questioning the fairness of the broadcast
true,the effect of a predators threat has reduced your will to fight
true,the constellation BLANK pulls out her sword with cold eyes
true,constellations questioning the fairness of the channel has left the channel
false,you have stopped four of the five disasters i fully acknowledge your accomplishments but do you know the other four were just childs play compared to the last disaster
true,the blank has strengthened his control on the character blank
true,magic power recovery bracelet
false,this is why you didnt want to finish the scenario quickly
true,the character BLANK has discovered that you are a demonic enemy that shouldnt be touched
false,keep this in mind in order to find the BLANK you must know where the BLANK is it is because the front can only exist when there is a rear
false,yes thats right
true,0 coins have been acquired as a reward
true,the stern of the ship will lead to the next floor
false,what is it having fun again
false,shut up say it quickly
true,the welcome prison is activated
true,the constellation BLANK dislikes the sponsor of BLANK
true,arachnes web
false,say
true,your body is immune from a parasitic infection
false,you are moderately well informed but so what what does this contract have to do with why constellations subscribe
true,some constellations are complaining about the unusual scenario difficulty
true,the effect of the dongui bogam  incomplete has been activated
true,fake king han sooyoung is summoning the four yin demonic beheading sword
false,how interesting bihyung you dare act like this in front of the incarnations
true,the eyes of many constellations are shining
true,constellations protest against the excessive filtering
false,that is the story gigantomachia is an important issue but the giant soldier can be completed on time without your help
true,the character BLANK has activated the exclusive skill BLANK
true,the constellation BLANK is humming
false,certainly violence isnt the only stimulus
false,meteorite was the main event in the fifth scenario the danger sleeping inside the meteorite would differ depending on the colour brightness size and type however the meteorite i was looking at now was one that should never hatch
true,a mysterious energy lives in your soul
true,you can check the information of the person by updating character list do you want to update it
true,the character blank has used private land lv 0
true,a few constellations admire your calmness
true,the scenario error will delay further compensation settlement
false,haha everyone how have you been
false,0 0 0
true,the stream contract has concluded
true,there is 0 hour before the third scenario is activated
true,you have become the target of the bounty scenario
true,the constellation BLANK is wondering how you will escape
true,many of the constellations who dislike the atrocities of some constellations are greatly satisfied with your judgment
true,the disaster of floods has hatched
true,constellations who hate the korean peninsula desires your death
false,sighit cant be helped you are really lucky humans
true,synching to a new device is available
false,are you suspecting me is there evidence
true,you are the first to have successfully hunted a 0th grade species
true,a constellation wearing a straw mat is appalled by your actions
true,the 0st person supporting role viewpoint interferes with the behaviour of the character
true,your total stats have almost reached the limit of this scenario
true,samyeongdangs straw mat
true,a giantlike physical fitness fills your body
false,hahaha how interesting
true,0 coins have been acquired as a basic clearance reward
false,major contributor shin yoosung
true,the constellation BLANK is excited about the unseen development
false,it doesnt seem to be a deal
false,dont you know this is a mass production item
false,i only came here for one reason olympus will give you a stern warning dont hinder our work we are working to prevent the destruction of the world this woman will grow into a breakwater of the great destruction
true,the constellation BLANK praises your courage
false,huhu then hang in there i hope the story will bless you
true,the constellation BLANK prays that you can return safely to your companions
true,a new item will be added to your story
true,the exclusive skill BLANK has offset your mental shock
true,the character blank despises you
false,as a result of discussions with the bureau it was reported that the average skill of the local incarnations doesnt match the difficulty of the scenario therefore i have arbitrarily adjusted the difficulty level in my area using my own judgment
true,the constellation BLANK is laughing at the constellation
true,the main scenario is activated
true,you can take one of the protagonists skills
true,chungmuro stations deputy yoo sangah has used the punishment
true,the evil thoughts of the dead have returned
false,cheeky bastard bihyung grumbled while a reward message appeared in front of my eyes
false,you might be an enforcer but i cant tolerate insults to my customers
false,he could stop the disaster by killing antinus
false,i hope you put on a good show till the end
true,your strength level has increased dramatically
true,a famous disaster has been killed
true,the constellation blank is making an insidious smile
true,a number of constellations cant take their eyes off your battle
true,the constellation blank likes your companionship
true,the character BLANK has a favourable impression of you
true,the incarnation BLANK has been given a second scenario penalty
true,available bookmark slots 0
true,all stats have reached the scenario limit
false,why
true,this person isnt registered in blank
true,the character blank has used hundred steps godly fists lv 0
false,instead of the thorny path
true,your understanding of the character blank has reached a certain level
true,the character blank has fallen into deep agony
false,the scenarios that have already ended cant be changed by anyone anything that happens to you from now on is the fault of that human
true,the demon king BLANK will search for the one who dealt the final blow
false,you can become a BLANK right now
true,you have been given a third scenario penalty
false,it is just to rip off coins from you
true,a number of constellations want to be your sponsor
true,the character han sooyoung has confirmed that the statement is true
true,if the hostile acts are repeatedly accumulated
false,rather you dont seem to have a sponsor
false,haha is this trueisnt there one interesting choice well yes there will be another chance the dokkaebis crescent moon eyes stayed on me for a moment now now everyone has finished the selection rest here for a while i have to go prepare the next scenario ill see you in 0 minutes
false,hey how long are you going to sleep
true,the constellation BLANK is chuckling at the intermediate dokkaebi BLANK
false,hrmm this is difficult how did you guys get this BLANK it was only installed recently
false,why isnt my strength enough you can become the strongest of this age with just my stigma
true,the constellation BLANK admires your patience
true,the constellation BLANK is expecting the appearance of a new story class constellation
false,weve arrived
true,the king of disasters has received the scenario buff effect
true,sub scenario blank has begun
false,broken faith there is a person with it in any case it is registered
true,the scenario content is updated
true,you have succeeded in being the first to hunt the 0th grade species blank
true,you can use the internet anywhere in BLANK unless the consciousness of BLANK is interrupted
true,the attribute of character blank is about to blossom
true,the subscenario  sssgrade hunt has begun
false,why is there a contract have you already forgotten the terms you cant have a sponsor
true,the qualified kings will move to the final testing place
true,0 coins have been invested in physique
true,chungmuro stations representative kim dokja is transferring some of his authority to group member BLANK
true,converting the character information of blank into the blank
false,sheesh what a waste of time
true,a few constellations are bored
false,this isnt possible how can there be a firewall preventing the system interference
true,the 0th grade fire dragon species BLANK is using the BLANK
false,sit down incarnation kim dokja
false,only platinum members can ask for the solo meeting right dont tell me
false,you are
true,the second main scenario is enabled
true,the BLANK gives off a feeling of familiarity
true,the second blank has been reached
true,the star navigation has begun
false,how on earth bihyungs lips were shaking with shock unlike the main scenarios and subscenarios that a dokkaebi was in charge of the hidden scenarios were characterized by their automatic appearance when certain conditions were met
false,kuk ahahaha
true,0 coins have been acquired
false,take a look
